what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1544809041805
java.specification.version,sysinfo,,,"1.6",1544809041805
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1544809041805
java.version,sysinfo,,,"1.6.0_23",1544809041805
java.vm.info,sysinfo,,,"mixed mode",1544809041805
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1544809041805
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1544809041805
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1544809041805
java.vm.specification.version,sysinfo,,,"1.0",1544809041805
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1544809041805
java.vm.version,sysinfo,,,"19.0-b09",1544809041805
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1544809042462
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1544809045150
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1544809045399
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1544809045399
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1544809045415
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1544809045415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544809048205
error,log,,,"Could not write: \\\\Mac\\Home\\Downloads\\VHDL\\program\\.metadata\\.mylyn\\repositories.xml.zip",1544809119591
error,log,,,"Could not write metadata for '/'.",1544809120186
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1544809120563
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1544809120672
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1544809124056
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1544809126200
error,log,,,"Could not save master table to file '\\\\Mac\\Home\\Downloads\\VHDL\\program\\.metadata\\.plugins\\org.eclipse.core.resources\\.safetable\\org.eclipse.core.resources'.",1544809131831
